date,calls,weekday,reservations_2months_advance,total_reservations,summer_break,christmas_break,special_day
2014-01-01,1327,3,1494,7794,0,1,1
2014-01-02,3417,4,2891,20074,0,1,0
2014-01-03,3178,5,2790,17905,0,1,0
2014-01-04,1767,6,2504,10880,0,0,0
2014-01-05,1374,7,1522,8333,0,0,0
2014-01-06,1331,1,965,7900,0,0,0
2014-01-07,2785,2,1997,16468,0,0,0
2014-01-08,2893,3,2068,17420,0,0,0
2014-01-09,3090,4,1988,17943,0,0,0
2014-01-10,3151,5,2761,19016,0,0,0
2014-01-11,1906,6,1736,11060,0,0,0
2014-01-12,1263,7,1432,7367,0,0,0
2014-01-13,3342,1,2252,18513,0,0,0
2014-01-14,3117,2,2829,18067,0,0,0
2014-01-15,3191,3,1831,19101,0,0,0
2014-01-16,3153,4,3229,18863,0,0,0
2014-01-17,3042,5,2590,17735,0,0,0
2014-01-18,1874,6,2824,10760,0,0,0
2014-01-19,1392,7,1520,7870,0,0,0
2014-01-20,2734,1,2526,15972,0,0,0
2014-01-21,2412,2,2205,13781,0,0,0
2014-01-22,2219,3,2058,12276,0,0,0
2014-01-23,2342,4,1859,14834,0,0,0
2014-01-24,2280,5,2244,13189,0,0,0
2014-01-25,1457,6,2450,8144,0,0,0
2014-01-26,1112,7,1383,6507,0,0,0
2014-01-27,2497,1,3144,14561,0,0,0
2014-01-28,2340,2,2490,12847,0,0,0
2014-01-29,2364,3,2038,14625,0,0,0
2014-01-30,2285,4,2593,13162,0,0,0
2014-01-31,2477,5,2906,13759,0,0,0
2014-02-01,1600,6,1360,9498,0,0,0
2014-02-02,1310,7,1552,7815,0,0,0
2014-02-03,2673,1,2135,15401,0,0,0
2014-02-04,2460,2,2207,13840,0,0,0
2014-02-05,2491,3,2636,14587,0,0,0
2014-02-06,2534,4,2034,14325,0,0,0
2014-02-07,2487,5,2192,13867,0,0,0
2014-02-08,1556,6,1695,9019,0,0,0
2014-02-09,1203,7,1178,6771,0,0,0
2014-02-10,2846,1,2411,16353,0,0,0
2014-02-11,2515,2,2101,14672,0,0,0
2014-02-12,2736,3,1868,15025,0,0,0
2014-02-13,2659,4,3172,15220,0,0,0
2014-02-14,2634,5,2984,14546,0,0,0
2014-02-15,1792,6,2770,10337,0,0,0
2014-02-16,1336,7,1468,7622,0,0,0
2014-02-17,2910,1,2448,17239,0,0,0
2014-02-18,2727,2,1288,16420,0,0,0
2014-02-19,2713,3,2300,14895,0,0,0
2014-02-20,2716,4,2361,15834,0,0,0
2014-02-21,2724,5,2621,16735,0,0,0
2014-02-22,1814,6,2096,10785,0,0,0
2014-02-23,1352,7,1163,7898,0,0,0
2014-02-24,3085,1,2702,18223,0,0,0
2014-02-25,2766,2,2542,15974,0,0,0
2014-02-26,2683,3,1699,15350,0,0,0
2014-02-27,2764,4,3213,18430,0,0,0
2014-02-28,2951,5,3349,16408,0,0,0
2014-03-01,2026,6,2846,11319,0,0,0
2014-03-02,1557,7,1479,9363,0,0,0
2014-03-03,2938,1,1513,16684,0,0,0
2014-03-04,2806,2,2243,16655,0,0,0
2014-03-05,2917,3,2975,17669,0,0,0
2014-03-06,2844,4,2816,16723,0,0,0
2014-03-07,2820,5,2210,16284,0,0,0
2014-03-08,1764,6,3418,10798,0,0,0
2014-03-09,1305,7,1441,7894,0,0,0
2014-03-10,3130,1,2970,18416,0,0,0
2014-03-11,2930,2,2028,17051,0,0,0
2014-03-12,2893,3,2859,17058,0,0,0
2014-03-13,2898,4,2688,17093,0,0,0
2014-03-14,2956,5,2915,17090,0,0,0
2014-03-15,1951,6,3028,11503,0,0,0
2014-03-16,1470,7,1708,8523,0,0,0
2014-03-17,3463,1,3298,18916,0,0,0
2014-03-18,3227,2,2506,18670,0,0,0
2014-03-19,3084,3,2325,18163,0,0,0
2014-03-20,2942,4,3230,16366,0,0,0
2014-03-21,2942,5,2015,16304,0,0,0
2014-03-22,2056,6,3196,11517,0,0,0
2014-03-23,1627,7,1076,9418,0,0,0
2014-03-24,3624,1,3266,20517,0,0,0
2014-03-25,3822,2,3599,21289,0,0,0
2014-03-26,3649,3,3235,20211,0,0,0
2014-03-27,3776,4,2914,23237,0,0,0
2014-03-28,3229,5,2611,18447,0,0,0
2014-03-29,2171,6,2744,12358,0,0,0
2014-03-30,1059,7,1684,6559,0,0,1
2014-03-31,3522,1,2294,20093,0,0,0
2014-04-01,3466,2,2827,19429,0,0,0
2014-04-02,3685,3,4088,21566,0,0,0
2014-04-03,3849,4,4468,22780,0,0,0
2014-04-04,3732,5,3588,20834,0,0,0
2014-04-05,2694,6,3950,15450,0,0,0
2014-04-06,2221,7,2518,13627,0,0,0
2014-04-07,4474,1,2534,25860,0,0,0
2014-04-08,4117,2,4223,22823,0,0,0
2014-04-09,4110,3,3656,25809,0,0,0
2014-04-10,3922,4,2653,23508,0,0,0
2014-04-11,3916,5,2931,25179,0,0,0
2014-04-12,2878,6,4031,17650,0,0,0
2014-04-13,2346,7,1405,14580,0,0,0
2014-04-14,4852,1,3014,27559,0,0,0
2014-04-15,4433,2,3852,25150,0,0,0
2014-04-16,4578,3,2416,27058,0,0,0
2014-04-17,4587,4,4007,26834,0,0,0
2014-04-18,3357,5,5726,18045,0,0,1
2014-04-19,3404,6,4856,19806,0,0,0
2014-04-20,1950,7,1968,10650,0,0,0
2014-04-21,1782,1,2813,11221,0,0,1
2014-04-22,4893,2,6178,29285,0,0,0
2014-04-23,3336,3,4142,20508,0,0,1
2014-04-24,5130,4,5278,28877,0,0,0
2014-04-25,3366,5,8054,19130,0,0,0
2014-04-26,3160,6,3556,19739,0,0,0
2014-04-27,2401,7,2546,13875,0,0,0
2014-04-28,4942,1,4293,29987,0,0,0
2014-04-29,4558,2,4052,26435,0,0,0
2014-04-30,4924,3,3435,30735,0,0,0
2014-05-01,3134,4,3421,18633,0,0,0
2014-05-02,4376,5,5443,26730,0,0,0
2014-05-03,2937,6,3083,17565,0,0,0
2014-05-04,2118,7,1212,12319,0,0,0
2014-05-05,2951,1,3952,18055,0,0,1
2014-05-06,4060,2,3162,22357,0,0,0
2014-05-07,4203,3,2433,24513,0,0,0
2014-05-08,4221,4,3331,24195,0,0,0
2014-05-09,3812,5,4663,21763,0,0,0
2014-05-10,2800,6,2912,15216,0,0,0
2014-05-11,1961,7,1472,10991,0,0,0
2014-05-12,4337,1,2183,27560,0,0,0
2014-05-13,4197,2,2871,22547,0,0,0
2014-05-14,4355,3,3306,25536,0,0,0
2014-05-15,4245,4,4412,25025,0,0,0
2014-05-16,3999,5,4208,23279,0,0,0
2014-05-17,2771,6,3919,16556,0,0,0
2014-05-18,1970,7,2073,11056,0,0,0
2014-05-19,4573,1,4731,26560,0,0,0
2014-05-20,4380,2,3178,26176,0,0,0
2014-05-21,4434,3,4163,24844,0,0,0
2014-05-22,4223,4,2553,25989,0,0,0
2014-05-23,4476,5,3807,26896,0,0,0
2014-05-24,3064,6,3402,16980,0,0,0
2014-05-25,2254,7,2351,13471,0,0,0
2014-05-26,3423,1,4050,21294,0,0,1
2014-05-27,4713,2,4579,28121,0,0,0
2014-05-28,5129,3,3466,30438,0,0,0
2014-05-29,5479,4,5159,31737,0,0,0
2014-05-30,5366,5,3806,30460,0,0,0
2014-05-31,4313,6,4737,25393,0,0,0
2014-06-01,2954,7,3534,18044,0,0,0
2014-06-02,3572,1,4050,21140,0,0,0
2014-06-03,6612,2,4819,40425,0,0,0
2014-06-04,6414,3,4707,38314,0,0,0
2014-06-05,6685,4,6178,36745,0,0,0
2014-06-06,6728,5,3476,42859,0,0,0
2014-06-07,4543,6,4235,25497,0,0,0
2014-06-08,3625,7,2412,21543,0,0,0
2014-06-09,7244,1,5262,39979,0,0,0
2014-06-10,7088,2,4406,39656,0,0,0
2014-06-11,7211,3,6620,44881,0,0,0
2014-06-12,5221,4,4715,29105,0,0,0
2014-06-13,4399,5,3074,24980,0,0,0
2014-06-14,3355,6,3465,18379,0,0,0
2014-06-15,2805,7,2864,15911,0,0,0
2014-06-16,5211,1,3052,30226,0,0,0
2014-06-17,4949,2,4106,29640,0,0,0
2014-06-18,5135,3,4383,30075,0,0,0
2014-06-19,4898,4,5778,27155,0,0,0
2014-06-20,4567,5,4953,29111,0,0,0
2014-06-21,3592,6,4434,20366,0,0,0
2014-06-22,2860,7,3272,16562,0,0,0
2014-06-23,6599,1,5415,39047,0,0,0
2014-06-24,4724,2,3693,27848,0,0,0
2014-06-25,5219,3,4471,30538,0,0,0
2014-06-26,5157,4,5690,31170,0,0,0
2014-06-27,4789,5,4510,28093,0,0,0
